year,month,day,rad,tx,tn,p,rhx,rhn
2013,9,10,19.799,28,13.8,2,93,52
2013,9,11,20.089,26.1,11.2,0,96,40
2013,9,12,20.873,26.1,9.7,0,96,45
2013,9,13,21.654,27.6,9.6,0,93,29
2013,9,14,21.261,26.5,8.8,0,96,51
2013,9,15,12.755,19.6,13.1,28.8,96,87
2013,9,16,17.297,22.8,10.6,0,97,70
2013,9,17,19.789,25.5,9.2,0.2,95,24
2013,9,18,18.597,22.4,7.7,0,93,55
2013,9,19,21.302,27.8,8.1,0,97,41
2013,9,20,18.452,26.4,11.3,0.2,93,54
2013,9,21,19.818,27.9,10.1,0,97,48
2013,9,22,18.174,27.1,11.8,0,96,51
2013,9,23,18.946,28.1,11.1,0.2,96,51
2013,9,24,19.385,28.4,10.2,0,96,50
2013,9,25,17.459,27,11.9,0,96,54
2013,9,26,17.711,27.3,11.4,0,95,59
2013,9,27,16.013,27,13.7,0,96,59
2013,9,28,12.947,27,18.1,0,92,64
2013,9,29,9.967,21.6,16.2,20,95,87
2013,9,30,8.686,19.1,14.9,0.4,96,84
2013,10,1,10.758,21,14.4,0,93,67
2013,10,2,11.101,22.2,15,0,94,66
2013,10,3,9.139,18.9,13.9,0,84,66
2013,10,4,9.888,18.5,12.5,0.2,92,64
2013,10,5,10.624,17.7,10.6,3.8,96,76
2013,10,6,10.855,17.9,10.3,6.2,97,87
2013,10,7,8.339,18.5,13.9,7,96,92
2013,10,8,12.078,20.2,10.3,0.4,96,71
2013,10,9,13.399,21.5,9,0,97,68
2013,10,10,12.632,19.3,7.9,10.6,100,78
2013,10,11,14.772,19.7,3.7,2.6,96,39
2013,10,12,10.689,16.4,7.8,2,91,61
2013,10,13,9.982,15.2,7.5,0,95,78
2013,10,14,12.701,19.3,6.5,0.2,97,59
2013,10,15,12.435,18.7,6.1,0,98,67
2013,10,16,15.225,25.1,5.7,0,98,37
2013,10,17,14.67,24.6,6.1,0,96,44
2013,10,18,13.669,22.2,5.7,0.2,98,57
2013,10,19,11.5,19.3,7.3,0,96,76
2013,10,20,8.155,17.1,10.9,1.6,97,87
2013,10,21,8.109,17,10.7,0,97,89
2013,10,22,5.876,17,13.6,1.6,96,94
2013,10,23,5.796,17.8,14.4,16.4,97,93
2013,10,24,6.65,19.4,14.8,0.2,96,92
2013,10,25,8.704,21.2,13.1,1.4,97,80
2013,10,26,10.406,22.4,10.5,0,98,71
2013,10,27,6.17,19.9,15.6,0,95,92
2013,10,28,8.657,23.4,14.7,0,95,65
2013,10,29,7.091,20.9,14.9,0,95,83
2013,10,30,7.28,20.9,14.4,4.4,95,68
2013,10,31,9.17,18.4,7.8,1,97,67
2013,11,1,9.978,18.6,5.7,0,99,68
2013,11,2,6.933,18.4,12,0,95,68
2013,11,3,9.635,20,7.3,1,97,65
2013,11,4,7.684,14.1,5.8,0.2,96,88
2013,11,5,10.192,19.3,4.3,0,98,55
2013,11,6,10.386,23.3,7.3,0.2,96,41
2013,11,7,8.651,16.9,5.5,0,98,80
2013,11,8,5.057,15.8,11.8,0.8,97,92
2013,11,9,8.536,19.2,7.5,0.4,97,70
2013,11,10,7.349,15.2,6.3,0,99,46
2013,11,11,10.026,20,3,0,73,16
2013,11,12,10.602,19.9,0.4,0,90,25
2013,11,13,9.974,19.1,1.4,0,95,38
2013,11,14,6.581,15.2,7.3,13.4,96,71
2013,11,15,4.449,10.1,6.4,6.8,95,84
2013,11,16,8.078,17.1,4.6,0,98,68
2013,11,17,6.885,14.8,5.5,0.8,97,68
2013,11,18,3.928,11.4,8.3,3.2,97,95
2013,11,19,4.007,12.6,9.3,6.8,97,93
2013,11,20,5.473,12.5,6.2,2.4,98,79
2013,11,21,5.54,8.6,2,13.4,97,88
2013,11,22,4.372,7.1,2.9,12.6,97,89
2013,11,23,5.126,7.8,1.9,0,96,84
2013,11,24,7.205,14.1,2.2,0,98,69
2013,11,25,8.322,15.3,-0.9,0,98,25
2013,11,26,7.715,11,-3.2,0,87,30
2013,11,27,7.588,9.5,-4.5,0,89,31
2013,11,28,7.355,8.4,-5,0,94,52
2013,11,29,7.451,9.2,-4.8,0,96,53
2013,11,30,4.459,3.6,-1.5,3,100,93
2013,12,1,7.033,9.9,-3,0.2,99,68
2013,12,2,7.722,13.2,-2.6,0,99,48
2013,12,3,7.367,11.2,-3.4,0.2,97,58
2013,12,4,7.633,11.2,-4.7,0.2,98,65
2013,12,5,7.239,10.6,-3.9,0,98,66
2013,12,6,7.991,15.3,-2.6,0,98,64
2013,12,7,7.672,14.5,-2.2,0,99,68
2013,12,8,4.723,3.5,-2.9,0,100,98
2013,12,9,5.477,5.8,-2.9,0,100,99
2013,12,10,5.292,4.4,-3.8,0,100,97
2013,12,11,5.759,5.2,-4.6,0,100,97
2013,12,12,4.525,1.8,-4.3,0.2,100,98
2013,12,13,7.095,9.9,-5.2,0,100,82
2013,12,14,7.526,13.6,-3.5,0,99,55
2013,12,15,5.475,6.3,-2.8,0,100,93
2013,12,16,6.872,10.3,-4.1,0,99,67
2013,12,17,6.93,10.7,-4,0,99,64
2013,12,18,6.148,8.7,-2.9,0,100,73
2013,12,19,3.868,4.5,-0.1,17.2,99,97
2013,12,20,3.824,6,1.5,9.8,100,97
2013,12,21,4.227,7.2,1.7,0.2,99,95
2013,12,22,3.606,8.7,4.7,0,98,93
2013,12,23,3.518,9.3,5.5,0,98,92
2013,12,24,3.332,8.6,5.2,3.2,98,97
2013,12,25,3.529,9.1,5.3,22.4,99,98
2013,12,26,3.806,10.5,6.1,74.6,98,74
2013,12,27,6.406,13.6,1.2,2.4,96,66
2013,12,28,4.617,7.8,1.4,6,98,88
2013,12,29,6.264,11.8,0.1,3.4,100,75
2013,12,30,6.5,11.7,-0.8,0,99,72
2013,12,31,6.29,9.7,-1.9,0.2,98,67
2014,1,1,6.455,9.2,-2.9,0,98,63
2014,1,2,3.898,4.5,0.1,3.2,99,96
2014,1,3,4.007,6.7,2.1,0,99,90
2014,1,4,3.414,6.8,3.5,13.6,98,96
2014,1,5,5.859,11.2,1.6,13.8,99,88
2014,1,6,6.809,12.2,-0.6,0,99,67
2014,1,7,6.061,9.8,-0.2,0,99,78
2014,1,8,5.919,10.2,0.8,0,97,76
2014,1,9,4.685,9.7,3.9,0,97,80
2014,1,10,4.641,11.6,6,0,96,81
2014,1,11,4.844,10.4,4.4,0,99,94
2014,1,12,7.464,13.9,-0.1,0,100,73
2014,1,13,3.872,7.2,3.5,6.2,99,98
2014,1,14,4.064,7.4,3.4,17.2,99,91
2014,1,15,4.983,5,-0.9,0,100,96
2014,1,16,4.99,5.8,0,11.2,100,97
2014,1,17,4.819,5,-0.3,16.8,100,96
2014,1,18,4.283,6.9,2.8,17.8,98,97
2014,1,19,4.434,8.1,3.8,7,98,94
2014,1,20,6.115,12.4,4.4,0,96,86
2014,1,21,7.853,15.5,2.6,0,98,70
2014,1,22,7.166,13,2.5,0,98,72
2014,1,23,6.86,11.9,2.5,0,98,75
2014,1,24,7.876,12.9,0.8,0,100,33
2014,1,25,8.757,12.9,-1.7,0,95,38
2014,1,26,9.193,14.3,-1.4,0,97,40
2014,1,27,7.278,9,-0.6,0,99,75
2014,1,28,7.782,7.8,-2.9,0,100,78
2014,1,29,6.048,3.3,-3,8.8,100,92
2014,1,30,4.5,3.2,-0.2,22.4,100,98
2014,1,31,6.304,6.4,-0.1,6.2,100,97
2014,2,1,5.768,7.2,1.9,5.8,98,91
2014,2,2,5.9,9.3,3.9,1.6,98,93
2014,2,3,5.081,9.3,5.4,30.2,97,93
2014,2,4,5.28,9.6,5.5,5.8,96,88
2014,2,5,5.669,8.6,4,19.4,96,91
2014,2,6,8.764,11.7,1,0,98,76
2014,2,7,5.432,7.1,3.1,13.8,98,95
2014,2,8,7.541,6.6,-0.9,1.6,100,96
2014,2,9,9.871,15.4,2.9,0.4,98,48
2014,2,10,6.071,7.3,2.7,22.4,97,85
2014,2,11,9.859,12,0.2,0,99,78
2014,2,12,12.034,17.1,0,0,99,38
2014,2,13,7.58,7.2,0.6,0.4,96,83
2014,2,14,11.549,14.5,-0.4,0.2,100,42
2014,2,15,8.026,8.9,1.9,0,95,82
2014,2,16,6.379,9.4,5.1,2.4,97,89
2014,2,17,9.714,14.6,4.9,2,97,70
2014,2,18,9.644,13.7,4.4,0,97,77
2014,2,19,7.588,11.8,6.2,4,97,85
2014,2,20,11.214,13.6,1.7,0,99,77
2014,2,21,10.105,14.3,4.9,0,97,67
2014,2,22,13.239,17,1.3,0,99,28
2014,2,23,12.212,15,2,0,99,54
2014,2,24,13.691,16.2,0.3,0.2,98,40
2014,2,25,13.524,14.9,-0.2,0,97,46
2014,2,26,6.599,8.7,5.2,21,96,91
2014,2,27,9.791,11.8,4.3,1.2,96,75
2014,2,28,8.948,9.1,3,25.6,99,93
2014,3,1,7.524,7.9,3.7,40.4,98,94
2014,3,2,11.586,14.6,4.9,9.8,98,67
2014,3,3,9.609,10.6,4.1,19.4,97,84
2014,3,4,11.707,15.1,5.7,11,96,60
2014,3,5,14,18.2,5.1,0,94,39
2014,3,6,15.123,20.1,5.2,0,83,28
2014,3,7,16.457,19.7,2.5,0,89,37
2014,3,8,15.821,18.4,2.9,0,93,48
2014,3,9,16.529,18.7,2.2,0,96,45
2014,3,10,15.796,16.7,2,0,97,46
2014,3,11,15.606,16.8,2.8,0,95,50
2014,3,12,18.209,20.9,2.3,0,95,33
2014,3,13,18.578,21.5,2.6,0,94,37
2014,3,14,18.195,21.5,3.8,0,96,37
2014,3,15,18.308,21.3,3.8,0,95,46
2014,3,16,20.243,26.3,5.4,0,94,36
2014,3,17,20.134,26.9,6.7,0,87,31
2014,3,18,17.783,21.4,6,0,98,55
2014,3,19,19.978,25.8,6.8,0,97,31
2014,3,20,14.436,18.4,8.7,0,96,70
2014,3,21,16.571,20.7,8.2,0,96,56
2014,3,22,13.652,16.9,8.6,2.6,95,68
2014,3,23,11.928,12.5,6.3,18.2,95,66
2014,3,24,18.247,17.8,3.6,0,91,24
2014,3,25,14.924,12.9,3.6,0.4,89,59
2014,3,26,12.413,11.8,5.5,2,92,69
2014,3,27,15.073,15.5,6.4,0.2,88,50
2014,3,28,21.476,20.8,2.7,0,95,31
2014,3,29,20.9,21.5,4.7,0,89,35
2014,3,30,21.297,22.9,5.8,0,90,31
2014,3,31,22.004,24.1,6.2,0,92,27
2014,4,1,20.474,21.4,6.2,0,93,52
2014,4,2,19.48,20.6,7.1,0,97,55
2014,4,3,17.177,18.6,8.3,0,95,60
2014,4,4,14.695,18.7,11.3,0.2,91,60
2014,4,5,19.956,23.3,9.9,0,92,43
2014,4,6,23.273,26.2,8.3,0,95,33
2014,4,7,23.283,26.5,8.9,0,92,33
2014,4,8,18.82,21.6,10.3,0,91,60
2014,4,9,23.758,25.6,7.9,0.4,96,19
2014,4,10,24.028,25.7,7.9,0,89,27
2014,4,11,23.327,24.4,7.9,0,94,38
2014,4,12,19.805,23.7,12,0,77,45
2014,4,13,19.271,24.1,13.2,0,82,45
2014,4,14,22.249,25,10.7,0,90,44
2014,4,15,21.868,21.9,8.3,0,96,14
2014,4,16,23.45,20.4,5,0,71,17
2014,4,17,25.33,21.6,3.9,0,78,19
2014,4,18,23.57,19.7,4.6,0.4,82,34
2014,4,19,15.457,12.3,5.9,35.4,93,86
2014,4,20,22.188,20.5,7.5,0.8,96,54
2014,4,21,11.921,15,11.3,8.8,95,84
2014,4,22,20.976,22.1,10.8,0,95,54
2014,4,23,24.005,25.2,10.6,0,91,44
2014,4,24,24.979,27.2,11.6,0,90,37
2014,4,25,22.416,25.4,13,0,87,41
2014,4,26,25.14,27.4,12,0,88,34
2014,4,27,16.309,18.8,12.4,7.4,91,64
2014,4,28,12.644,14.6,10.8,8.8,92,80
2014,4,29,23.976,23.7,10.2,0.8,95,46
2014,4,30,15.111,16.5,11.2,13.8,93,81
2014,5,1,25.052,23.3,8.9,0.2,97,50
2014,5,2,15.428,17.1,11.7,14.4,93,72
2014,5,3,24.162,23,9.9,0,94,51
2014,5,4,24.843,24.5,10.8,0,82,27
2014,5,5,24.607,24.9,11.6,0,82,36
2014,5,6,21.447,23,13,0,80,57
2014,5,7,18.416,21.8,14.5,3,85,63
2014,5,8,25.168,24.5,11,0.2,92,44
2014,5,9,25.568,27.7,13.9,0,84,40
2014,5,10,24.545,27.4,14.8,0,89,46
2014,5,11,24.755,27.1,14.4,0,91,22
2014,5,12,25.825,24,10.3,0,75,25
2014,5,13,22.38,21.5,11.3,0,76,35
2014,5,14,27.704,24.8,9.3,0,79,21
2014,5,15,25.476,23.8,10.8,0,57,24
2014,5,16,29.334,26.7,9.6,0,71,20
2014,5,17,26.645,26.1,12.1,0,69,23
2014,5,18,25.772,25.3,12.3,0,85,34
2014,5,19,22.911,22.9,12.7,0,88,39
2014,5,20,22.765,25,15,0,81,49
2014,5,21,24.814,27.2,15.4,0,87,42
2014,5,22,20.241,25,17.2,9.8,89,56
2014,5,23,22.876,25.9,16,0,89,41
2014,5,24,25.577,27.1,14.8,0,84,37
2014,5,25,27.27,27.4,13.5,0,86,30
2014,5,26,21.759,23.7,14.9,4,89,55
2014,5,27,23.947,24.9,14.3,1.8,90,47
2014,5,28,25.546,25.7,13.7,0.8,87,49
2014,5,29,27.859,27.5,13.3,0,91,33
2014,5,30,28.798,29.5,14.4,0.6,88,28
2014,5,31,23.014,25.3,15.7,0,86,42
2014,6,1,26.424,27,14.4,0,78,36
2014,6,2,24.172,26.2,15.7,0.4,81,43
2014,6,3,24.677,27.6,16.7,0.4,82,37
2014,6,4,22.087,24.8,16.1,15.4,91,53
2014,6,5,26.943,27.7,14.8,0,93,46
2014,6,6,26.987,29.1,16.2,0,87,42
2014,6,7,28.057,31.4,17.5,0,86,41
2014,6,8,29.766,34.5,18.9,0,90,37
2014,6,9,28.236,35.1,21.1,0,87,38
2014,6,10,27.346,35.2,22.1,0,84,34
2014,6,11,29.587,36.2,20.9,0,87,32
2014,6,12,29.129,36.3,21.5,0,83,31
2014,6,13,26.471,34.1,21.9,0,77,39
2014,6,14,28.981,31.4,16.8,9.6,90,43
2014,6,15,19.792,24.1,17.3,12.8,93,60
2014,6,16,23.407,26.6,17.1,0,82,46
2014,6,17,20.388,24.5,17.3,3,85,51
2014,6,18,23.673,26.9,17.2,0,86,39
2014,6,19,28.851,29.6,15.2,0,89,36
2014,6,20,29.155,30.8,16.1,0,90,36
2014,6,21,26.453,29.5,17.4,0,92,50
2014,6,22,25.106,30.9,20,0,87,53
2014,6,23,23.435,29.9,20.4,4.6,89,52
2014,6,24,25.44,30.3,19.1,0.6,93,59
2014,6,25,19.815,26.2,19.4,4.4,92,70
2014,6,26,18.759,25.5,19.4,6.4,91,72
2014,6,27,24.481,29.3,18.9,0.2,91,54
2014,6,28,21.322,27.6,19.7,0,90,67
